status_id,status_giver_name,status_giver_id,status_message,link_name,status_type,status_link,status_published,num_reactions,reaction_giver_idnum_comments,comment_giver_id,num_shares
172177269650835_736038436598046,Ramim Islam Noor,10208159795609456,"উৎসে কর কর্তন ও একটি বাস্তব সমস্যা

প্রথমেই বলে রাখি, উৎসে কর কর্তন একটি ভাল আইডিয়া। এটা একটা অপশন হওয়া উচিৎ কিন্তু বাধ্যতামূলক হওয়া উচিৎ নয়। কারণ,

প্রজাতন্ত্রের যে কর্মচারীকে বছর শেষে শুধু ন্যূনতম কর দিতে হবে তার ক্ষেত্রে এই পদ্ধতিতে অতিরিক্ত কর প্রদান করা হয়ে যাচ্ছে। উদাহরণস্বরূপ,

একজন ব্যক্তিকে যদি ন্যূনতম কর ৪০০০ টাকা দিতে হয়, হিসেব মতে তাকে মাসিক ৩৩৩ বা ৩৩৪ টাকা কর্তন করতে বাধ্য করা হচ্ছে। কিন্তু, সেই ব্যক্তির ব্যাংকে গচ্ছিত টাকার লভ্যাংশ, সঞ্চয়পত্রের মুনাফা ইত্যাদি থেকেও স্বয়ংক্রিয়ভাবে উৎসে কর কর্তন হচ্ছে।

সেক্ষেত্রে বেতন থেকে কর্তন এবং ব্যাংক থেকে কর্তন মিলে অতিরিক্ত কর প্রদান করা হয়ে যাচ্ছে।

হিসাব রক্ষণ অফিসের সাথে যোগাযোগ করলে তারা জানায়, উৎসে কর কর্তন করতেই হবে এবং সেটা ন্যূনতম করের পরিমানে হতেই হবে। এই পরিমান কর্তন ছাড়া বেতন বিল পাস হবেনা। 

তাহলে এই সমস্যার সমাধান কী?

পাব্লিক সার্ভিস ইনোভেশন বলতে আমি সব ধরণের সার্ভিস সহজীকরণে করণীয় বুঝি। তাই, সমস্যাটির সমাধানে সংশ্লিষ্ট বিভাগের দৃষ্টি আকর্ষণ করছি।",,status,,2017-07-21 04:58:37,30,"['685754434926361', '1416323341795927', '455001281506197', '1395121717231944', '692151837626220', '137829150047541', '10213892193925556', '1416831588364135', '801308110031495', '1812508498764705', '10209825927619427', '142829839634487', '1410478665695208', '1530534793670328', '1396875803722139', '1557178661011447', '1100337136767123', '252934918545769', '10211168985877665', '10209771878923459', '301415103648498', '10211935405124503', '10211550964832393', '1358742094240485', '1794848423865208', '467435690281591', '1850265044990483', '1648646641877596', '1926625897606721', '10203627161675851']",3,"['10208159795609456', '137829150047541', '1043144109150332']",4
172177269650835_737005616501328,Mithun Sarkar,1211658172243782,"প্রবল বর্ষনে উপ-স্বাস্থ্য কেন্দ্রটি টই টুম্বর। উপরের চালা নষ্ট থাকায় ভিতরে হু হু করে পানি ঢুকে। আসবাব পত্র, ঔষধ পত্র সব ভিজে গেছে। বিদ্যুতের মেইন বোর্ডে পানি ঢোকায় বিদ্যুৎ সরবরাহ বন্ধ রয়েছে। প্লাসটিকের কাগজ টাঙ্গিয়েও রোগীদেখার যায়গাটুকু শেষ রক্ষা হয়নি। তাই রেইন কোট পরে আর ছাতি মাথায় নিয়েই স্বাস্থ্য সেবা কার্যক্রম চালু রাখতে হয়।
কর্তৃপক্ষের টনক যে কবে নরবে কে জানে।

বিগত ৮ মাস পূর্বে এই গ্রুপে এই বিষয়টি নিয়ে পোষ্ট করা হয়েছিলো। সম্মানিত স্বাস্থ্য সচিব মহোদয় তখন কেন্দ্রটি পূনর্নিমানের নির্দেশ দিলেও সংশ্লিষ্ট দপ্তরগুলো আজ পর্যন্ত তা কার্যকর করেনি।",Photos from Mithun Sarkar's post,photo,https://www.facebook.com/photo.php?fbid=1415110935231837&set=gm.737005616501328&type=3,2017-07-23 06:46:26,22,"['2352023575022044', '10207753315029911', '451301131906299', '1711240625859011', '1442438069179455', '685754434926361', '1183520018420315', '2007727556129889', '142829839634487', '10213465596584711', '10207865695000668', '10213892193925556', '1395121717231944', '1480922471965408', '334428463679427', '1444546548944342', '1971887549724214', '10211306621254107', '1388309414600983', '10211935405124503', '1898053360456294', '493490747664764']",7,"['493490747664764', '10154909240144723', '10211306621254107', '1396875803722139', '142829839634487', '1406464209409044', '233675510487247']",1
172177269650835_735951656606724,Arafat Sarker Arif,10207636945352599,"ভাই সালমান , 
    এ স্পেশাল স্যালুট টু ইউ । 
 যারা ছোট শিশুর হাতের আঁকা মহান নেতার ছবিকে কেন্দ্র করে আপনাকে অপমান করেছে তাদের প্রতি ধিক্কার জানাই। এই সকল অকালকুষ্মান্ডরা প্রজাতন্ত্রের একজন দায়িত্বশীল, উদ্ভাবনি মানসিকতার কর্মচারিকেই শুধু অপমানই করে নি , লজ্জিত করেছে সমগ্র জাতিকে । হাজার বছরের শ্রেষ্ঠ বাঙ্গালী, মহান নেতা , জাতির পিতা বঙ্গবন্ধুকে হৃদয়ে ধারণ করার যে প্রয়াস আপনি দেখিয়েছেন তা প্রশংসার যোগ্য হওয়ার পরও আপনার প্রতি যে আচরন করা হয়েছে তাতে কবির ভাষায় বলতেই হচ্ছে, 'রেখেছো বাঙ্গালী করে, মানুষ করো নি'। 

আপনি যথার্থই বলেছেন, মাননীয় প্রধানমন্ত্রীর কাছে আপনার আবেদন করার কোন প্রয়োজন নেই । 

উপজেলা পর্যায়ে রাস্ট্রের মুখপাত্র হিসেবে আপনি যা করেছেন , তা একটি অত্যন্ত মহতি উদ্যোগ  । আর আপনার প্রতি অর্বাচীনরা যা করেছে তার প্রতিফল তারা নিশ্চয়ই পাবে।

প্রজাতন্ত্রের কর্মচারির কোন দল নেই। আমরা সরকারের আজ্ঞাবহ হয়ে নিজেদের উপর অর্পিত দায়িত্ব পালনে সদা সচেষ্ট।
 
আপনার প্রতি অনুরোধ, আপনি ভয় পাবেন না , ভেঙ্গে পড়বেন না । আপনাকে অপমানকারিদের বিরুদ্ধে ব্যবস্থা নেয়া রাস্ট্রের দায়িত্ব । 

রাস্ট্র এবার তার দায়িত্বটুকু ঠিক মত পালন করুক ।।",,photo,https://www.facebook.com/photo.php?fbid=10209179912685818&set=gm.735951656606724&type=3,2017-07-21 01:51:40,45,"['835766049910354', '316770862116411', '357083164674447', '301690030281863', '1698584490171444', '1635317086510647', '2009254292678259', '10207753315029911', '2000263396872023', '1603305663014116', '309023999524742', '1488937581173906', '142829839634487', '807731972733615', '10208012079300278', '268613930286524', '1721002618228413', '1588068157912760', '440591289662128', '1879163932411440', '117738362198071', '1447401382019029', '1030935463701920', '1353043704758580', '1224965587609486', '1225170634230656', '701993103331919', '1183520018420315', '502164626842345', '10214223082999775', '2104337746482457', '1979001419001661', '261983177620676', '10213172975509955', '1324008111029963', '1721369911513515', '1618377014901156', '288741871599019', '319052658522683', '1410478665695208', '1219145218182276', '1450433685036282', '1906409739604894', '965986613533483', '1822579144425530']",7,"['259298357808744', '1450433685036282', '1030935463701920', '1249058795220901', '807731972733615', '10213551584453148', '830366417126084']",0
172177269650835_736588496543040,Md Rakibul Hussain,10209829104383295,"এই জোড় পূর্বক টাকা আদায়কে আমি কি বলিবো ঘুষ না স্পিড মানি?

৩৩তম বিসিএস(স্বাস্থ্য) এ নিয়োগপ্রাপ্ত হয়ে চাকুরিকাল প্রায় তিন বছর হতে চলল।তাই আমার প্রাপ্য পনেরদিন শ্রান্তি বিনোদন ছুটি ও ভাতার জন্য আবেদন করি।
কিন্তু আমার অফিস ক্লার্ক ও ক্যাশিয়ার এ ছুটি পাশের জন্য আমার ও আমার সহকর্মীদের কাছ থেকে এজি অফিস ও ডিজি (হেলথ) বাবদ ১৭০০টাকা করে নিয়েছে এবং সেটা সিটিজেন চার্টারের মত যথারীতি চেয়ে চেয়ে।টাকার অংকের সাথে যে নোংরামি জড়িয়ে আছে এ নিস্তার কি নেই?

একটু খোজ নিতেই শুললাম সংলগ্ন হাসপাতালে এ টাকার অংক ২০০০।
 এবার আসি সারা বাংলাদেশে ৩৩তম বিসিএসএ নিয়োগপ্রাপ্ত ৬০৩৩ জন চিকিৎসক এর কাছ থেকে যদি ১৭০০ টাকা করে নেয়া হয় তবে এ টাকার অংক দাঁড়ায় ১,০২,৫৬,১০০টাকা।
আমাদের ন্যায্য অধিকার প্রাপ্তির জন্য এই এক কোটি জোড় পূর্বক আদায়কৃত টাকাকে কি আমি ঘুষ বলবো না স্পিডমানি? 

আমার পূর্বসূরিদের(স্যার/ম্যাডামদের) কাছে সাহায্য চাই। এ থেকে মুক্তির কোনো উপায় আছে কি?",,photo,https://www.facebook.com/photo.php?fbid=10211760287141657&set=gm.736588496543040&type=3,2017-07-22 06:52:16,104,"['811010069059554', '10155547092157445', '1924647614482223', '1875867649402056', '484401245233480', '1509663789089751', '837435936430467', '10213873042010770', '10210097802987400', '1458802507514916', '1457453237634858', '1243358679108704', '10211697540061938', '730572937142681', '10212039264130518', '10210267841557073', '1507737325920317', '1204444556315420', '10213892193925556', '769796026539634', '1747439932242848', '854034874751209', '10209588339364592', '1987948604571118', '1885539601658318', '716029671933194', '1490534487676503', '338978536540217', '10213449362326870', '342279186211537', '1395121717231944', '1488090601256960', '1449979698415641', '648781075295431', '10212471794856484', '1376651425687731', '1898801063776197', '10155572292057264', '10209450997621770', '854292211389001', '1879717422354819', '1085590751574646', '1191011434350197', '1238265826220170', '288691558205427', '1679796925366668', '1604285972977759', '1100674646699080', '1606018082802624', '1546698745392768', '1422419794501347', '1823700201292706', '10212385509624425', '10155562768819307', '10154628885454792', '1156799427758884', '142829839634487', '10209396495937968', '1738150042879287', '10206185492356009', '2339541676271230', '683871198468158', '1937305679845629', '10203615216216550', '10209170238442890', '10213774238979882', '10209771878923459', '1478614145493133', '1974193206160736', '1222700514467184', '1308116095970820', '1717680374922665', '10209915570786342', '785095621664007', '10213671821818279', '1989692604575492', '10207388012858708', '10209697022044947', '1664909480209991', '861335594017417', '10211550964832393', '492659611068932', '10213551584453148', '1335944269783773', '10212645868998509', '1470649462997006', '1282519248489523', '10211951396893387', '1803409766598774', '10208744638247187', '10211306621254107', '1388642524518909', '1960425764234691', '1317113125007447', '689064111279342', '10207753315029911', '10208448785971246', '1415620018515965', '157796148092796', '2136124656614272', '1104205079705610', '1410478665695208']",25,"['10208824993245039', '10211216612711624', '689064111279342', '1388642524518909', '10213551584453148', '492659611068932', '10213823361368228', '1372196789543019', '10210396637295848', '1372196789543019', '1556572171079679', '10211274852941148', '1361841990501803', '919799078156711', '142829839634487', '10213551584453148', '1100674646699080', '1449979698415641', '1906409739604894', '769796026539634', '1899240760298113', '10213402561407911', '1222700514467184', '1746685175630059']",0
172177269650835_733386346863255,M. Wazir Hossain,10211898823213054,"প্রতারকদের হাত থেকে বাঁচতে চাই!

ডিবিবিএল মোবাইল ব্যাংকিং রকেট-এর 019775017014 এই নম্বর থেকে আজ ১২টার দিকে আমার নম্বরে ৭,০০০ টাকা পাঠালেন আমার এক এক্স কলিগ। বেলা ৩.৩২ টার দিকে 01877255866 এই নম্বর থেকে ফোন করে বিনয়ের সাথে জানালো, আরেকজনের ৭০০০ টাকা ভুল করে চলে গেছে, ব্যালান্স চেক করে দেখেন। আমি বললাম, টাকা আসেনি। একটু পরে আবার ফোন করে, আমার আগে কত টাকা ছিল, আর এখন কত টাকা আছে জানতে চায়। আমি ব্যালান্স জানাতে অপারগতা প্রকাশ করি। সে ম্যাসেজ গেলে টাকা রিটার্ন দিয়েন এই বলে ফোন কেটে দেয়। এরপর ঐ নম্বর থেকে ছবিতে প্রদর্শিত মেসেজ পাঠায়। সেখানে যে লেনদেনের তথ্য আছে তার সাথে আমার লেনদেন ও ব্যালান্সের মিল নেই। আর লেনদেনটাও ২০১২ সালের! উল্লেখ্য যে ডিবিবিএল মোবাইল ব্যাংকিং রকেটে লেনদেন হলে 16216 থেকে মেসেজ আসবে। কিন্তু ঐ প্রতারক তার নিজের মোবাইল নম্বর থেকেই মেসেজ পাঠিয়েছে। এরপর সে ফোন দেয় বেশ কয়েকবার। আমি কল রিসিভ করতে পারিনি। সর্বশেষে কল রিসিভ করলে, তুই তোকারি করে মা বাবা তুলে অকথ্য ভাষায় গালি দেয়। আমিও তাকে এধরণের দুই নম্বরি ব্যবসা কবে থেকে চালাচ্ছে আর মহাখালী, পুলিশ বক্সের কাছে এসে টাকা নিয়ে যেতে বলি। সে গালি দিতে দিতে ফোন রেখে দেয়।

৯৯৯ ইমার্জেন্সি নম্বরে কল করে জানালে, উনারা নিকটস্থ থানা এবং ডিবিবিএল ১৬২১৬ অভিযোগ জানাতে বলেন। ১৬২১৬ এ ফোন করলে অনেকক্ষণ যে কথা হলো তার সারমর্ম ওদের আসলে এসব ক্ষেত্রে কিছু করার নেই। গ্রাহককেই সচেতন থাকতে হবে। আমি যদি ওদের কথামতো লেনদেন করতাম, তাহলে ব্যাংক বিষয়টা খতিয়ে দেখতো। যেহেতু আমি লেনদেন করিনি, কাজেই ওদের সাথে আমার কী কথা হয়েছে তা নিয়ে ওদের কিছু করার নেই।

আমি ছাপোষা নিরীহ মানুষ। থানা পুলিশ করতে চাচ্ছি না। আবার চাচ্ছি যে, এই প্রতারকদের কাছে আর কোন সাধারণ মানুষ যেন প্রতারিত না হয়। এহেন অবস্থায় সংশ্লিষ্ট কর্তৃপক্ষের দৃষ্টি আকর্ষণ করছি।",,photo,https://www.facebook.com/photo.php?fbid=10213861687803442&set=gm.733386346863255&type=3,2017-07-16 08:45:49,46,"['811010069059554', '1689539844407600', '1183754858344696', '451301131906299', '10212740683824550', '273528099795878', '720904144738570', '1252743628097049', '1396662050367188', '1358742094240485', '1532325606789298', '10213620206768275', '10154628885454792', '1294912310628023', '1566297556775553', '1937305679845629', '1283170498413649', '1212102995602891', '1927515354129724', '428106620898003', '1416948385063368', '1158865124220500', '10214635712150508', '872717429545289', '10213875786835787', '142829839634487', '1707804792624362', '10206449815964269', '1580129968695766', '1979001419001661', '1881348185449594', '10210764792609761', '1039288996202193', '1632300116810211', '673544942843038', '1411339605567617', '512661855738149', '1729913173976999', '1021951501240561', '10211168985877665', '913854425411235', '1470649462997006', '797735933734506', '1057630557679945', '1150609375017330']",7,"['10208422702382026', '1720466748256486', '1070869009708408', '1070869009708408', '10153892048956582', '1464604013585593', '1070869009708408']",0
172177269650835_737462696455620,Mahbub Hossain,1246093908812016,,,status,,2017-07-23 22:54:10,17,"['746416645536893', '807731972733615', '451301131906299', '908582939307576', '1222204044556105', '1711240625859011', '1372439622800715', '1946723938918850', '1078036808974116', '1708679612768556', '10207912123057203', '142829839634487', '1768415670041755', '1416468781708008', '1547464591937301', '1744021498956662', '1484308364915891']",3,"['1547464591937301', '142829839634487', '1708679612768556']",0
172177269650835_736604136541476,Khairul Islam,1219145218182276,https://m.facebook.com/story.php?story_fbid=1587456634618695&id=706882079342826,"DC Office, Kushtia, Bangladesh",photo,https://www.facebook.com/dcofficekushtia/photos/a.757589584272075.1073741831.706882079342826/1587456214618737/?type=3,2017-07-22 07:49:47,41,"['1838300783152919', '830366417126084', '700112006842149', '1183754858344696', '300252473735573', '1615652548468290', '1459593214153393', '1074207259380899', '1238439612882208', '1900725010253007', '678335582371657', '1929374690643779', '1987948604571118', '10209396495937968', '10208413553637437', '697537253786533', '1294912310628023', '1205158479630394', '1823700201292706', '142829839634487', '1825652767754219', '10209943845537714', '816572291815929', '1844562489094892', '1722994677715509', '1240831512687863', '1859609984251604', '1722562271406167', '236746870080916', '1400773200012073', '10203497071623785', '327143877727576', '1664909480209991', '1859586234364626', '10213551584453148', '1722089681441321', '220988241679006', '1447401382019029', '1485909464757441', '1768415670041755', '1219145218182276']",3,"['1219145218182276', '142829839634487', '230481774070760']",1
172177269650835_737267769808446,Samad Faruq,919799078156711,"জনপ্রশাসন পদক ২০১৭ প্রদান অনুষ্ঠান

সরকারি সেবাকে সহজভাবে জনগণের কাছে পৌছে দেয়ার স্বীকৃতিস্বরুপ জেলা পর্যায়ে ২৭ জনকে জনপ্রশাসন পদক প্রদানের জন্য মনোনীত করা হয়েছে। আনন্দের বিষয় ২৭ জনের মধ্যে খুলনা বিভাগেরই ১৬ জন কর্মকর্তা।

আজ জাতীয় পাবলিক সার্ভিস দিবস ২০১৭ উপলক্ষ্যে বিভাগীয় প্রশাসন খুলানার আয়োজনে এবং জেলা প্রশাসন খুলনার সহযোগিতায় খুলনা বিভাগ হতে জনপ্রশাসন পদক ২০১৭-এ মনোনীত ১৬ জন কর্মকর্তাকে পদক, মাননীয় প্রধানমন্ত্রী কর্তৃক স্বাক্ষরিত সম্মাননাপত্র, জনপ্রশাসন মন্ত্রণালয়ের মাননীয় সিনিয়র সচিব কর্তৃক স্বাক্ষরিত ডিও লেটার ও নগদ অর্থ প্রদান করা হয়। একটা আনন্দমুখর অনুষ্ঠানের মাধ্যমে পুরষ্কারপ্রাপ্তগণ দেশের জন্য আরও কাজ করার অঙ্গীকার ব্যক্ত করেন।

অনুষ্ঠানের প্রধান অতিথি জনাব মোঃ আবদুস সামাদ, বিভাগীয় কমিশনার উদ্ভাবনের এ যাত্রা অব্যাহত রাখতে সকলকে অনুরোধ করেন। সরকারি দায়িত্ব পালনের সাথে সাথে নতুন নতুন উদ্ভাবন নিয়ে দেশের অর্থনৈতিক ও সামাজিক উন্নয়নে ভূমিকা পালনে সকলকে দৃড় প্রতিজ্ঞাবদ্ধ হতে হবে।",Photos from Samad Faruq's post,photo,https://www.facebook.com/photo.php?fbid=1067564910046793&set=gm.737267769808446&type=3,2017-07-23 22:55:17,37,"['799471863555027', '1940280452857595', '1532353710168836', '335466126904646', '10209799665493995', '1928692490736665', '230481774070760', '10209542467493652', '1616079925354807', '1838300783152919', '1017622711715173', '1183520018420315', '1504857576191368', '908582939307576', '1711240625859011', '1222204044556105', '1889555174613798', '1245267178853288', '10207519036029079', '1078036808974116', '10209329103448111', '10208314605377382', '244529369303591', '693149144185277', '1038674016259674', '1768415670041755', '324474164646838', '154915805082609', '301415103648498', '10211965590243814', '1219145218182276', '142829839634487', '1668284693190330', '850329991737101', '1886392008044333', '1490959057595747', '1192778727436323']",0,[],0
172177269650835_736963503172206,Rouf Momen,10208422702382026,নবীনগর এই  কর্মতৎপর uno মহোদয় এর সফলতা কামনা করছি,,status,,2017-07-23 06:47:00,7,"['10213667082339397', '1353489794700043', '1412102648838172', '1183520018420315', '1906409739604894', '1219145218182276', '142829839634487']",2,"['142829839634487', '10208422702382026']",0
172177269650835_737105826491307,Saif Uddin A Chowdhury,1537863749602535,"১৮ বছর বা তদুর্ধ বয়সের  যাদের জাতীয় পরিচয় পত্র ( NID) আছে,তাদের জন্য ইউনিয়ন পরিষদ  / পৌরসভা  / সিটি কর্পোরেশন থেকে নাগরিকত্ব সনদ ইস্যুর প্রয়োজন আছে কি ?",,status,,2017-07-23 06:44:40,5,"['1208518405905243', '1069248419843855', '10209799665493995', '1755796177770978', '1225170634230656']",0,[],0
